Price,GDP,Mining Rent,year
351.9790285018366,0.186257055691613,9.59895823176212,1970
261.3775591800741,7.666317485330841,6.06778245247026,1971
246.86105907773208,-2.59665567978212,5.24779028134278,1972
360.43025665637987,-6.5293690205947605,6.806748355701691,1973
358.66707208424765,0.782241414369352,9.90344622199352,1974
193.96591285637166,-14.2564404174226,10.3917598669907,1975
210.11648710041433,2.24403460035232,10.919403615859599,1976
185.11865752032145,8.76719350336197,7.32665698314358,1977
178.58291885550156,6.08511576243829,6.080403878086011,1978
231.10821577564138,6.82199989245153,7.55879446993853,1979
223.84196085199707,6.43130713508889,6.872851652743731,1980
163.05932348176808,5.02925268716659,4.02403585767896,1981
135.7797822278213,-12.241027321725099,4.940062817340309,1982
144.26110941467073,-6.32593996733216,7.06336475358008,1983
121.85822522362321,2.6369133889335497,6.003114714045889,1984
125.99169865906508,2.49013800698428,7.21354433080384,1985
125.76042552233883,3.7809427250452403,6.065953648596211,1986
158.66401223682357,4.80076822439308,7.49240965886909,1987
222.94468063475713,5.634100125123579,10.9038129378304,1988
232.80509420500007,8.14684871520279,11.8368588644716,1989
209.92110934821417,1.6532088922914698,9.54796462152926,1990
183.94509210813692,6.04188997488899,7.9425622697887,1991
178.50276257515176,9.34717155375166,6.5865406866322305,1992
147.56471744180882,4.86808377336688,4.8138127730138205,1993
175.49166666666667,3.3887012377715298,6.12069728124637,1994
215.7833333333333,7.3082877350545195,7.184430133477401,1995
164.90833333333333,5.290976507282889,5.9597184772561,1996
163.60833333333332,5.98316384761775,6.04403080483334,1997
121.85833333333333,2.99063174967851,4.27250335207421,1998
114.81666666666666,-1.62759954362949,5.0194845519277305,1999
125.28333333333335,4.09428735354267,6.580137404345209,2000
107.70833333333336,2.14618943830904,6.052641296088231,2001
109.08333333333333,2.0006176749395297,5.833126798554731,2002
118.075,3.00583035674246,6.984655099355611,2003
179.0666666666667,6.10283936667567,11.589704909105802,2004
213.8333333333333,4.64670086980279,12.802572956816,2005
373.75000000000006,5.20045134165797,20.917395557823,2006
377.6666666666667,3.79033938890592,20.7227843032436,2007
333.67500000000007,2.42619717171779,18.818315947368397,2008
272.10833333333335,-2.601446897912,14.0935621030122,2009
373.68333333333334,4.75022381395627,17.3905213822452,2010
402.5916666666667,5.05778792023305,17.9274205385681,2011
360.55833333333334,4.30921750358573,15.7417588053547,2012
330.2749999999999,3.0315258904249704,14.472244761715801,2013
306.375,0.692556386631992,13.9861571188327,2014
264.6666666666667,1.1059443453571203,11.580644656692801,2015
240.5,0.372104022166411,9.63664719719724,2016
291.8666666666667,-0.24332399603439103,10.878654828998801,2017
